PCA1,PCA2,Target
-0.9805378002203623,-0.3239301451281517,2
0.3738361526836161,-0.9036782126572566,0
0.6428521347876338,-0.8450809081891103,0
-0.3805376422301962,-0.5261360310140302,2
-0.4813199625723898,-0.5229472751548416,2
0.9294913825697025,-1.0185912764983145,0
-1.0326794687584107,-0.39599175188103714,2
-1.9598541632123885,-0.08535584551193436,2
-0.34976409185501117,-0.47215003504600067,2
-1.6163603595064329,-0.19894872154149051,2
-2.0218116603927054,-0.10978226580986451,2
-2.0406660551621063,-0.05997638164639865,2
-0.6253945043032988,0.11194785794908854,2
-0.30371402586215535,-0.5117301781113883,2
0.7703723334484404,-0.2018014652582247,0
-0.014297694507172921,-0.7471791258719725,0
-0.9638773532724825,-0.37640346047978146,2
-0.11521481025329675,-0.6947513995057172,2
-0.6362692905509216,0.5723076218818159,2
-1.1794851277775598,-0.2312375018621876,2
-1.552286694652836,-0.09517220538992545,2
0.33697201272247396,2.2254767758770964,1
-1.2187433177574538,0.16711524298415473,2
-0.8877400779332875,1.6722023436500928,2
-1.6682947028822666,0.3416601321269674,2
-0.898646145613908,0.003988160260227386,2
-1.4993280598589083,0.014207431006195063,2
-1.2444532094632277,-0.014619688820901122,2
0.002497712726272209,1.4388471603018818,1
-0.7539763513499368,-0.4235030928791448,2
-1.5338497717862138,1.4717091694547162,2
-2.2839726030731864,0.1863327946347998,2
-2.2116222420605465,0.6700597532005497,2
-0.8747990493915699,-0.3547439737745199,2
-1.4693101908542383,-0.1686776611568067,2
-1.211720631004101,0.04074254177636528,2
-1.8832165988711458,-0.0313698923945385,2
-1.0097610633160736,2.6497442071983444,1
-1.6527218893539815,1.0833234078987617,2
-2.490595813160419,0.5952658090669247,2
-1.6768431893867008,1.713010138846156,2
-0.028690319205962052,1.8963254449183082,1
-1.825692110188407,0.8018941058742891,2
-1.8170149625165422,1.1161741254532285,2
-1.8634994191925938,0.7402442301251262,2
-1.6881593053766843,0.2317856095009399,2
-1.8783655965522579,0.20363596653296845,2
-2.23491385965235,0.4160438988889531,2
-1.5377089369413395,1.355457807173661,2
-2.7537663702355415,0.9862704799720129,2
