PCA1,PCA2,PCA3,Target
-0.20581416075375267,-0.9816149373804715,-0.9434341525260652,0
-0.4725643786579663,4.482888129294665,-0.25526164791738426,0
0.5833857694657852,-0.7654670171038386,-0.37253523097287755,1
1.0537430607842644,-0.48740381551984374,0.0813222494138413,1
0.8189091022269814,-0.5491801080833933,-0.019192758037271586,1
0.43946682846180996,-0.0011908122707816823,0.021916553405697214,1
0.7730725399463475,1.8945149707189095,-0.3322413338647337,1
-0.4705646112178627,-0.22026388949344433,-0.5225871898183879,0
-2.078744422433933,-0.22803624095818134,-1.3440753032500545,0
-1.935057431234831,0.6557970364733551,-0.4548039060941228,0
-1.460285831464817,-0.46352536929293225,-0.9135433893852136,0
-1.4324096066766223,-0.7743248153872019,-1.1150875220943666,0
-1.0770602576701491,0.67186865379913,-0.41590405715881706,0
-1.1619325282995794,2.4501266946717695,-0.9726044055482372,0
-1.1797739873632729,-0.4929076415832699,-0.7950664915911633,0
-1.8394102115079942,-0.031311148457203085,-0.8748368078756148,0
-1.4909698594161538,1.3942605536769581,-1.7502029549271256,0
-1.2325975244576064,1.7809855968326824,-1.0245067930762306,0
-1.5372745396120575,-0.7748083818182234,-0.8366169984361397,0
-3.1085614042071916,-0.11019630740471466,-1.2563384832270923,0
-2.3568830685898092,-0.7044578139607068,-1.2115225379775278,0
-1.3513233386085222,1.1383651475013432,-1.4369147872428387,0
-2.2068442672108435,1.467177118442416,-1.6796972259600067,0
-1.9231058751934578,1.5299684851126725,-1.5481502843123314,0
-2.3255586403530546,-0.40949189562662747,-0.9416132205638084,0
-1.173970531576994,-0.3570712083737697,-0.43262225329076986,0
-0.4054005926694031,4.248577807956588,0.9792299588360729,0
-2.423806308395032,-0.3316290509366278,-1.1274981547931742,0
-0.6876384180659846,1.1936673711646688,-1.216492249937944,0
-1.1257049799799954,-0.8568844880969495,-0.7615034056574883,0
-1.415883827953843,-0.8662612236280955,-0.9067398288692816,0
-1.5326550879125718,1.4749958753371826,-1.4552431216728023,0
-1.4238756494835125,-0.7326602431308838,-0.8364073600699776,0
-0.829081686407267,-0.8955349193412614,-0.6022262739186812,0
-0.6400571140707828,-0.907387401140803,-0.5168025894120931,0
-1.3593937815226982,1.2960495337554807,-1.440402371224231,0
-1.3464088744014338,-0.801063257654419,-0.8327852040158107,0
-1.1067148342303803,-0.8704002079075911,-0.7228096301905116,0
-0.9136542798092134,0.8389768662481658,-1.1891913981438742,0
-1.8686913290787803,-0.5823829548558139,-0.9197546123333072,0
-2.059960771018366,-0.2173901034156635,-0.7674930271972548,0
-1.7716152815641681,-0.7770557693926992,-1.0228991620445822,0
-1.8047162978973321,-0.7181100707459922,-0.9698286114056188,0
0.0005491202684842134,3.4027018099765107,1.247835723900609,1
-1.5051524262652072,-0.6209020188421088,-0.42640369944536294,0
-2.8360686834854927,-0.3538458367730935,-1.0655488650243623,0
-2.2245451006128385,-0.08234572535954839,-0.7283189475323071,0
-1.7772559125454248,1.435684564825213,-1.2097099252004,0
-2.7282740854867784,-0.6153041876554141,-1.1009661187197415,0
-1.1322889429138,-0.9430027315889523,-0.3955896389213541,0
-1.6731081032647106,1.4884815573176902,-1.1242952022562926,0
-2.201696164739782,-0.613358169409253,-0.7675851158860245,0
-1.8726564590263237,1.22542904606678,-1.4433746730068484,0
-2.039406329910819,-0.7286090121033725,-0.7747114433841717,0
-2.583877175714546,1.1252424628831255,-1.2323642429680857,0
-1.86357060379532,-0.5549401784093391,-0.5851015877042941,0
-1.9776140856190543,-0.33978495123389196,-0.4668267972178549,0
-2.473707603870407,-0.7331552664336558,-0.8776051835593158,0
-2.365731490449088,0.589624531769546,-1.0911339182851316,0
-2.1201878283707885,0.16537961552681135,-0.14362838985684862,0
-2.342511564764686,0.5597898059678701,-1.420750069653222,0
-1.8490690267342178,-0.7864787503583426,-0.5942233187841163,0
-1.5818823919890672,0.22968466275617397,0.11474865096769298,0
-2.217442141720289,0.9120127185635031,-0.9466023649629562,0
-2.8137518083455473,-0.44743076271504895,-1.1139865753496583,0
-2.4829380873362523,-0.742692957668743,-0.8911380599948773,0
-2.828676891682192,-0.3751493053831883,-0.886522173948781,0
-1.7910859179614416,1.835662065092592,-1.5411137215617108,0
-1.4965462149012403,0.10768811956907251,0.17218038680627523,0
-1.9577475212778042,-0.8364447497841674,-0.6613584767364783,0
-2.189716919372057,0.47747250681267506,-0.9535376824111076,0
