timestamp,cpu_usage,memory_usage,temperature,battery_level,battery_current_mA,battery_charging,upload_speed_kbps,download_speed_kbps,screen_on,brightness,class,confidence,inference_time_ms
5/1/2026 10:35,53,69,39.6,51,-448,0,0,0,1,23,Compute-Heavy Activity,0.9860088,243.539218
5/1/2026 10:35,35,69,39.6,51,-186,0,0.9301823,0,1,23,Low Activity,0.9906871,1108.066979
5/1/2026 10:35,28,69,39.6,51,-146,0,0.16073436,0.20834684,1,23,Low Activity,0.9856098,383.981197
5/1/2026 10:35,26,69,39.6,51,-136,0,0.2580742,0.15629846,1,23,Low Activity,0.99283254,161.146718
5/1/2026 10:35,26,69,39.6,51,-109,0,0.16066341,0.100414634,1,23,Low Activity,0.9958553,118.775625
5/1/2026 10:35,37,69,39.6,51,-115,0,0.24843866,0.100489326,1,23,Low Activity,0.9858122,128.913333
5/1/2026 10:36,26,69,39.6,51,-146,0,1.323429,1.8311154,1,23,Compute-Heavy Activity,0.59476453,213.737969
5/1/2026 10:36,26,70,39.6,51,-163,0,1.3265641,1.8115733,1,23,Low Activity,0.91768587,289.054375
5/1/2026 10:36,26,70,39.6,51,-154,0,1.901829,5.0103273,1,23,Low Activity,0.9962483,129.541198
5/1/2026 10:36,29,71,39.6,51,-121,0,2.431851,1.9250642,1,23,Low Activity,0.9689116,120.17599
5/1/2026 10:36,26,71,39.6,51,-130,0,0.2184671,0.10051424,1,23,Low Activity,0.9960069,252.097812
5/1/2026 10:36,26,70,39.6,51,-118,0,0.1606236,0.10038975,1,23,Low Activity,0.9953922,123.140989
5/1/2026 10:36,26,70,38.7,51,-121,0,0.16054407,0.100340046,1,23,Low Activity,0.99480224,207.522031
5/1/2026 10:36,26,70,38.7,51,-104,0,0.34469756,0.1559116,1,23,Low Activity,0.99636614,210.099323
5/1/2026 10:36,26,70,38.7,51,-132,0,0.16058382,0.10036489,1,23,Low Activity,0.9934908,124.03224
5/1/2026 10:36,26,70,38.7,51,-129,0,0.50458544,0.1630422,1,23,Low Activity,0.9939918,214.947031
5/1/2026 10:36,26,70,38.7,51,-135,0,0.5280546,0.100340046,1,23,Low Activity,0.9932238,215.892083
5/1/2026 10:36,26,70,38.7,51,-120,0,0.25749916,0.15595019,1,23,Low Activity,0.9949313,134.480157
5/1/2026 10:36,26,70,38.7,51,-107,0,0.13213173,0.110311806,1,23,Low Activity,0.99609095,114.528437
5/1/2026 10:36,26,70,38.7,51,-103,0,49.292213,52.360786,1,23,Network Activity,1,282.2675
5/1/2026 10:36,26,70,38.7,51,-137,0,0.8541293,1.0970601,1,23,Low Activity,0.99296016,347.038229
5/1/2026 10:37,26,70,38.7,51,-234,0,0.23465534,0.13702326,1,23,Low Activity,0.9494613,185.255104
5/1/2026 10:37,76,68,38.7,51,-1164,0,0.62457395,0.35319898,1,23,Compute-Heavy Activity,1,134.748281
5/1/2026 10:37,72,69,38.7,51,-374,0,47.54146,412.566,1,23,Network Activity,1,123.455209
5/1/2026 10:37,67,70,38.7,51,-137,0,24.069923,237.9325,1,23,Network Activity,1,142.97276
5/1/2026 10:37,58,70,38.7,51,-199,0,4.6625643,2.330312,1,23,Low Activity,0.6294837,108.307343
5/1/2026 10:37,83,71,38.7,51,-596,0,19.669443,157.95074,1,23,Network Activity,1,205.934844
5/1/2026 10:37,56,73,38,51,-763,0,42.95255,1054.6239,1,23,Network Activity,1,111.023073
5/1/2026 10:37,63,74,38,51,-533,0,10.692213,307.19885,1,23,Network Activity,1,111.079739
5/1/2026 10:37,53,73,38,51,-261,0,13.878605,408.72687,1,23,Network Activity,1,246.460052
5/1/2026 10:37,46,73,38,51,-311,0,10.577888,361.29385,1,23,Network Activity,1,169.131875
5/1/2026 10:37,60,67,38,51,-449,0,11.363127,179.28392,1,23,Network Activity,1,209.337552
5/1/2026 10:37,36,67,38,51,-221,0,2.1540747,16.697784,1,23,Low Activity,0.85081804,683.049166
5/1/2026 10:37,35,67,38,51,-178,0,0.2824467,2.33958,1,23,Low Activity,0.94540983,239.023542
5/1/2026 10:37,44,67,38,51,-200,0,1.608356,2.194536,1,23,Low Activity,0.82633597,223.596562
5/1/2026 10:37,35,67,38,51,-184,0,1.7879729,36.050358,1,23,Low Activity,0.90631735,184.999375
5/1/2026 10:38,51,67,38,51,-154,0,0.9416246,3.2213218,1,23,Low Activity,0.8502949,114.728282
5/1/2026 10:38,64,67,38,51,-196,0,1.3054,1.8905123,1,23,Compute-Heavy Activity,0.601332,169.952239
5/1/2026 10:38,32,67,38,51,-173,0,0.10195284,0.103166565,1,23,Low Activity,0.9639613,178.840417
5/1/2026 10:38,37,67,38,51,-497,0,0.46269602,0,1,23,Compute-Heavy Activity,0.59639454,1338.908854
5/1/2026 10:38,34,66,38,51,-199,0,0.66840607,0.41821235,1,23,Low Activity,0.9238874,111.582709
5/1/2026 10:38,35,66,38,51,-174,0,1.1547159,3.3637693,1,23,Low Activity,0.9473086,117.926718
5/1/2026 10:38,42,66,38,50,-253,0,0.73672634,0.47870237,1,23,Low Activity,0.63925153,451.503542
5/1/2026 10:38,57,66,38,50,-288,0,2.0252383,0.47516978,1,23,Compute-Heavy Activity,0.8325575,293.838125
5/1/2026 10:38,34,66,38,50,-269,0,9.061195,274.29648,1,23,Network Activity,1,143.077604
5/1/2026 10:38,76,66,38,50,-660,0,6.5547657,72.16152,1,23,Network Activity,0.9911726,126.383855
5/1/2026 10:38,49,66,38,50,-390,0,9.481942,89.39824,1,23,Network Activity,1,113.717448
5/1/2026 10:38,50,66,38,50,-395,0,4.2685976,72.812675,1,23,Network Activity,0.9521008,449.51151
5/1/2026 10:38,35,67,38,50,-286,0,6.326702,108.4669,1,23,Network Activity,0.99999976,123.310312
5/1/2026 10:38,38,67,38,50,-242,0,2.4866805,19.737175,1,23,Low Activity,0.7455377,126.902447
5/1/2026 10:38,37,67,38,50,-289,0,5.927084,139.34871,1,23,Network Activity,1,114.522291
5/1/2026 10:39,41,66,38,50,-304,0,4.635144,61.590828,1,23,Network Activity,0.90176725,135.890833
5/1/2026 10:39,38,66,38,50,-195,0,6.432606,176.64146,1,23,Network Activity,1,160.30375
5/1/2026 10:39,42,66,38,50,-397,0,3.1893108,0.39247078,1,23,Compute-Heavy Activity,0.90441936,144.048906
5/1/2026 10:39,59,65,38,50,-195,0,1.370052,0.26240718,1,23,Compute-Heavy Activity,0.501935,136.340052
5/1/2026 10:39,59,65,38,50,-192,0,1.5848213,0.36199534,1,23,Low Activity,0.51619154,141.839115
5/1/2026 10:39,45,65,38,50,-254,0,3.5863962,7.917418,1,23,Low Activity,0.5525868,181.758542
5/1/2026 10:39,43,66,38.3,50,-261,0,4.787348,26.35915,1,23,Low Activity,0.5316527,268.656354
5/1/2026 10:39,52,66,38.3,50,-540,0,10.310757,391.41333,1,23,Network Activity,1,257.662708
5/1/2026 10:39,41,66,38.3,50,-218,0,21.962423,736.46436,1,23,Network Activity,1,441.529167
