timestamp,cpu_usage,memory_usage,temperature,battery_level,battery_charging,upload_speed_kbps,download_speed_kbps,screen_on,brightness,battery_drain,predicted_drain_average,inference_time_ms
2026-06-05 09:43:27,43,63,34.6,55,0,0.04359654,0.0,1,23,-117.0,-166.97115,10.906511
2026-06-05 09:43:31,31,63,34.6,55,0,0.35344106,0.0,1,23,-163.0,-174.10092,2.401771
2026-06-05 09:43:35,47,64,34.6,55,0,0.7932454,0.036276467,1,23,-268.0,-162.10022,1.573907
2026-06-05 09:43:39,32,64,34.6,55,0,0.4427862,0.0,1,23,-165.0,-165.95706,1.562136
2026-06-05 09:43:43,32,64,34.6,55,0,0.3985969,0.0,1,23,-263.0,-156.03537,1.478386
2026-06-05 09:43:47,32,64,34.6,55,0,0.28178933,0.21097824,1,23,-230.0,-159.66911,1.716094
2026-06-05 09:43:51,50,64,34.6,55,0,0.6185139,0.19128294,1,23,-216.0,-152.38123,1.695365
2026-06-05 09:43:55,46,63,34.6,55,0,0.5070052,0.2711323,1,23,-253.0,-155.56064,2.537864
2026-06-05 09:43:59,34,64,34.6,55,0,0.88643694,0.034981344,1,23,-368.0,-151.95457,2.014428
2026-06-05 09:44:03,32,64,34.6,55,0,0.01457556,0.0,1,23,-183.0,-154.96626,1.646302
2026-06-05 09:44:07,49,64,34.6,55,0,0.3985969,0.0,1,23,-330.0,-156.53975,1.68625
2026-06-05 09:44:11,29,64,34.6,55,0,0.36979946,0.0,1,23,-253.0,-160.24188,4.49151
2026-06-05 09:44:15,40,65,34.6,55,0,6.8390813,15.526086,1,23,-258.0,-153.36278,1.596563
2026-06-05 09:44:19,32,65,34.6,55,0,1.4750466,0.0,1,23,-187.0,-155.73143,1.976823
2026-06-05 09:44:23,40,65,34.6,55,0,0.48755285,0.0,1,23,-214.0,-151.62187,2.110313
2026-06-05 09:44:28,32,64,34.6,55,0,1.4981412,0.0,1,23,-369.0,-153.50787,1.543073
2026-06-05 09:44:32,45,65,35.7,55,0,0.18952942,0.0,1,23,-200.0,-151.23088,1.799531
